phylum	class
seq12405	Ciliophora	Oligohymenophorea
seq124081	NA	Bigyra
seq12409	Arthropoda	Hexanauplia
seq12411	Nematoda	Chromadorea
seq12412	Ciliophora	Oligohymenophorea
seq124128	NA	Bigyra
seq124134	Ciliophora	Litostomatea
seq124148	Ciliophora	Litostomatea
seq12416	Ciliophora	Spirotrichea
seq1242	Platyhelminthes	Rhabditophora
seq12420	Cercozoa	Thecofilosea
seq12421	Bacillariophyta	Bacillariophyceae
seq124234	Nematoda	Chromadorea
seq12424	Ciliophora	Litostomatea
seq12428	NA	Cryptophyceae
seq12430	Ciliophora	Prostomatea
seq12433	Ciliophora	Heterotrichea
seq12435	Nematoda	Enoplea
seq1244	NA	Dinophyceae
seq12444	Ciliophora	Colpodea
seq12445	NA	Dinophyceae
seq1245	Nematoda	Enoplea
seq12451	NA	Dinophyceae
seq12452	Ciliophora	Litostomatea
seq12456	Ciliophora	Spirotrichea
seq1246	NA	Synurophyceae
seq124622	NA	Dinophyceae
seq12467	Ciliophora	Oligohymenophorea
seq12473	Ciliophora	Spirotrichea
seq12482	NA	Dinophyceae
seq12487	NA	Dinophyceae
seq12490	Bacillariophyta	Bacillariophyceae
seq12492	Ciliophora	Spirotrichea
seq12495	Cercozoa	Thecofilosea
seq12497	Bacillariophyta	Bacillariophyceae
seq1250	Mollusca	Gastropoda
seq12500	Cercozoa	Thecofilosea
seq12501	Ciliophora	Litostomatea
seq1251	Streptophyta	Charophyceae
seq12512	Bacillariophyta	Coscinodiscophyceae
seq12514	Platyhelminthes	Rhabditophora
seq12520	Ciliophora	Litostomatea
seq12522	Ciliophora	Litostomatea
seq12523	NA	Dinophyceae
seq125275	Endomyxa	Phytomyxea
seq12531	NA	Cryptophyceae
seq12532	Ciliophora	Colpodea
seq12541	NA	Dinophyceae
seq125413	Platyhelminthes	Trematoda
seq12548	Cercozoa	Thecofilosea
seq12553	Bacillariophyta	Bacillariophyceae
seq1256	Platyhelminthes	Rhabditophora
seq12568	NA	Dinophyceae
seq125689	Ciliophora	Karyorelictea
seq1257	NA	Dinophyceae
seq12573	Cercozoa	Imbricatea
seq12574	Ciliophora	Litostomatea
seq126	Mollusca	Bivalvia
seq1260	Arthropoda	Hexanauplia
seq12601	Ciliophora	Oligohymenophorea
seq12604	Ciliophora	Oligohymenophorea
seq1261	Ciliophora	Spirotrichea
seq12610	NA	Bigyra
seq12637	Ciliophora	Litostomatea
seq12650	NA	Chrysophyceae
seq12654	NA	Cryptophyceae
seq1266	Cercozoa	Imbricatea
seq12663	Basidiomycota	Tremellomycetes
seq12666	Ciliophora	Litostomatea
seq1267	Cercozoa	Imbricatea
seq12670	Basidiomycota	Agaricomycetes
seq12673	Nematoda	Chromadorea
seq12682	NA	Bigyra
seq12688	Ciliophora	Litostomatea
seq1269	Ciliophora	Oligohymenophorea
seq126920	Ciliophora	Armophorea
seq12694	NA	Developea
seq127168	NA	Breviatea
seq12717	Nematoda	Chromadorea
seq12718	Bacillariophyta	Bacillariophyceae
seq127188	NA	Dinophyceae
seq1272	Ciliophora	Spirotrichea
seq12721	Ciliophora	Oligohymenophorea
seq12729	NA	Dinophyceae
seq12730	Bryozoa	Gymnolaemata
seq12733	Basidiomycota	Tremellomycetes
seq12738	Nematoda	Chromadorea
seq12739	Bacillariophyta	Mediophyceae
seq1274	Annelida	Polychaeta
seq12743	NA	Dinophyceae
seq1275	Mollusca	Gastropoda
seq127529	Ascomycota	Saccharomycetes
seq127536	Chlorophyta	Chlorophyceae
seq1276	NA	Centroplasthelida
seq12766	Bacillariophyta	Fragilariophyceae
seq1277	Platyhelminthes	Rhabditophora
seq12770	Platyhelminthes	Trematoda
seq12771	Cercozoa	Chlorarachniophyceae
seq1278	Platyhelminthes	Rhabditophora
seq12784	Arthropoda	Hexanauplia
seq127895	Bacillariophyta	Bacillariophyceae
seq127907	Ascomycota	Pezizomycetes
seq1280	Nematoda	Chromadorea
seq128132	Tubulinea	Elardia
seq128150	Apicomplexa	Conoidasida
seq128153	Rhodophyta	Florideophyceae
seq12826	Ciliophora	Oligohymenophorea
seq12829	NA	Dinophyceae
seq1283	Ciliophora	Spirotrichea
seq12831	Ciliophora	Litostomatea
seq12836	Bacillariophyta	Coscinodiscophyceae
seq12838	Cercozoa	Imbricatea
seq12847	NA	Developea
seq1285	Arthropoda	Hexanauplia
seq12859	Ctenophora	Tentaculata
seq1286	Arthropoda	Hexanauplia
seq128607	NA	Xanthophyceae
seq128626	Chytridiomycota	Chytridiomycetes
seq12863	Ciliophora	Oligohymenophorea
seq1287	NA	Dinophyceae
seq128773	NA	Dinophyceae
seq12878	Cercozoa	Thecofilosea
seq12886	Bacillariophyta	Bacillariophyceae
seq1289	NA	Dinophyceae
seq12892	Cercozoa	Imbricatea
seq12894	Ciliophora	Heterotrichea
seq12895	Ciliophora	Spirotrichea
seq12897	Ciliophora	Spirotrichea
seq129	Mollusca	Bivalvia
seq12905	Annelida	Polychaeta
seq12907	Ciliophora	Oligohymenophorea
seq12908	Tubulinea	Elardia
seq1291	Ascomycota	Dothideomycetes
seq12912	Platyhelminthes	Trematoda
seq1292	Platyhelminthes	Rhabditophora
seq12920	Ciliophora	Oligohymenophorea
seq12926	Platyhelminthes	Rhabditophora
seq12930	Cercozoa	Imbricatea
seq12931	Nemertea	Palaeonemertea
seq129333	Ciliophora	Prostomatea
seq12940	Bacillariophyta	Bacillariophyceae
seq129432	NA	Bigyra
seq12946	Bacillariophyta	Coscinodiscophyceae
seq129509	Nematoda	Chromadorea
seq129510	Apicomplexa	Conoidasida
seq12960	Ciliophora	Litostomatea
seq12974	Ciliophora	Litostomatea
seq12976	Basidiomycota	Agaricomycetes
seq129794	Nematoda	Chromadorea
seq12982	NA	Dinophyceae
seq12985	Apicomplexa	Conoidasida
seq12988	Ciliophora	Spirotrichea
seq12999	Ciliophora	Spirotrichea
seq130	Mollusca	Gastropoda
seq13007	NA	Bigyra
seq1302	Platyhelminthes	Rhabditophora
seq13029	Cercozoa	Thecofilosea
seq13031	Arthropoda	Hexanauplia
seq13037	Platyhelminthes	Trematoda
seq1304	Basidiomycota	Tremellomycetes
seq1305	Ascomycota	Dothideomycetes
seq13057	Ciliophora	Spirotrichea
seq13063	Ciliophora	Oligohymenophorea
seq13067	Ciliophora	Litostomatea
seq1307	Arthropoda	Hexanauplia
seq13071	Ciliophora	Litostomatea
seq13074	Nematoda	Chromadorea
seq130786	Ciliophora	Oligohymenophorea
seq13093	Bacillariophyta	Bacillariophyceae
seq13097	Annelida	Polychaeta
seq131	Bacillariophyta	Coscinodiscophyceae
seq1310	NA	Dinophyceae
seq13105	Basidiomycota	Tremellomycetes
seq13106	NA	Chrysophyceae
seq13107	NA	Dinophyceae
seq1311	Basidiomycota	Tremellomycetes
seq13110	Ciliophora	Spirotrichea
seq13114	Ciliophora	Litostomatea
seq13116	Bacillariophyta	Bacillariophyceae
seq1312	Bacillariophyta	Coscinodiscophyceae
seq13125	Arthropoda	Hexanauplia
seq1313	Ascomycota	Eurotiomycetes
seq13132	Bacillariophyta	Bacillariophyceae
seq13137	Chlorophyta	Pyramimonadophyceae
seq1314	Nematoda	Enoplea
seq13163	Bacillariophyta	Bacillariophyceae
seq13168	Nematoda	Chromadorea
seq131750	Ciliophora	Oligohymenophorea
seq13178	NA	Dinophyceae
seq13186	Ciliophora	Spirotrichea
seq1319	Ciliophora	Oligohymenophorea
seq13192	Chordata	Actinopteri
seq132	NA	Pelagophyceae
seq1320	Ciliophora	Spirotrichea
seq13208	NA	Dinophyceae
seq13209	Cercozoa	Imbricatea
seq1321	Annelida	Polychaeta
seq13213	Nematoda	Chromadorea
seq132150	Evosea	Variosea
seq13218	Nematoda	Chromadorea
seq13222	NA	Cryptophyceae
seq1323	Ascomycota	Eurotiomycetes
seq13230	Nematoda	Chromadorea
seq13233	NA	Dinophyceae
seq13234	Annelida	Clitellata
seq13235	Nematoda	Chromadorea
seq132369	Nematoda	Chromadorea
seq13243	Ctenophora	Tentaculata
seq13245	Basidiomycota	Tremellomycetes
seq132457	Ciliophora	Colpodea
seq1325	Ascomycota	Eurotiomycetes
seq13250	Tubulinea	Elardia
seq13254	Nematoda	Chromadorea
seq13263	NA	Bigyra
seq132691	NA	Choanoflagellata
seq13280	Ciliophora	Plagiopylea
seq1329	Nematoda	Chromadorea
seq13293	NA	Developea
seq13296	NA	Cryptophyceae
seq13300	Ascomycota	Sordariomycetes
seq133077	Annelida	Polychaeta
seq13308	Ciliophora	Oligohymenophorea
seq13309	NA	Bigyra
seq13314	NA	Choanoflagellata
seq13318	Arthropoda	Hexanauplia
seq1332	Ciliophora	Spirotrichea
seq13320	Nemertea	Palaeonemertea
seq13321	Nemertea	Palaeonemertea
seq13322	Platyhelminthes	Rhabditophora
seq133371	NA	Dinophyceae
seq1334	Ciliophora	Spirotrichea
seq13340	Arthropoda	Hexanauplia
seq133415	Arthropoda	Thecostraca
seq133427	NA	Dinophyceae
seq1335	NA	Dinophyceae
seq13351	Ciliophora	Litostomatea
seq13358	Endomyxa	Ascetosporea
seq13361	Ciliophora	Litostomatea
seq13367	Ciliophora	Spirotrichea
seq1337	Apicomplexa	Conoidasida
seq13370	Nematoda	Chromadorea
seq13374	Chytridiomycota	Chytridiomycetes
seq13379	NA	Chrysophyceae
seq1338	Cercozoa	Imbricatea
seq13389	Ciliophora	Spirotrichea
seq13394	Ciliophora	Odontostomatea
seq134	Nematoda	Enoplea
seq13400	NA	Dinophyceae
seq13401	Ciliophora	Oligohymenophorea
seq13403	Cercozoa	Chlorarachniophyceae
seq1341	Nematoda	Chromadorea
seq13414	Ciliophora	Litostomatea
seq1342	NA	Chrysophyceae
seq13424	NA	Cryptophyceae
seq13425	Nematoda	Chromadorea
seq1343	Arthropoda	Hexanauplia
seq13430	Ciliophora	Spirotrichea
seq13433	Ciliophora	Plagiopylea
seq13439	Nematoda	Enoplea
seq13448	Ciliophora	Odontostomatea
seq13450	NA	Dictyochophyceae
seq13452	Chytridiomycota	Chytridiomycetes
seq13456	Bacillariophyta	Coscinodiscophyceae
seq13463	Platyhelminthes	Rhabditophora
seq13466	Bacillariophyta	Coscinodiscophyceae
seq13473	Platyhelminthes	Trematoda
seq13475	Chlorophyta	Pyramimonadophyceae
seq13476	Platyhelminthes	Trematoda
seq1348	NA	Chrysophyceae
seq1349	Nematoda	Enoplea
seq13492	Apicomplexa	Conoidasida
seq13499	Chlorophyta	Pyramimonadophyceae
seq135	Streptophyta	Magnoliopsida
seq1350	Rotifera	Eurotatoria
seq13501	Nematoda	Chromadorea
seq13503	Nematoda	Chromadorea
seq13504	NA	Chrysophyceae
seq13505	NA	Choanoflagellata
seq13512	NA	Dinophyceae
seq135131	Nematoda	Enoplea
seq1352	Platyhelminthes	Rhabditophora
seq13528	Ciliophora	Spirotrichea
seq1354	Cnidaria	Hydrozoa
seq1355	Nemertea	Enopla
seq13550	NA	Cryptophyceae
seq13554	Ciliophora	Litostomatea
seq13557	Ciliophora	Litostomatea
seq13558	Ciliophora	Spirotrichea
seq13566	NA	Cryptophyceae
seq13568	Ciliophora	Spirotrichea
seq1357	NA	Raphidophyceae
seq13572	Ciliophora	Litostomatea
seq13574	Nematoda	Chromadorea
seq13581	Bacillariophyta	Bacillariophyceae
seq135846	Nematoda	Chromadorea
seq13586	Chlorophyta	Pyramimonadophyceae
seq13590	Ciliophora	Spirotrichea
seq13591	Arthropoda	Hexanauplia
seq13593	NA	Cryptophyceae
seq13596	Bacillariophyta	Bacillariophyceae
seq13605	Bacillariophyta	Bacillariophyceae
seq13606	NA	Bigyra
seq13609	Bacillariophyta	Bacillariophyceae
seq13611	Bacillariophyta	Bacillariophyceae
seq1363	Bacillariophyta	Bacillariophyceae
seq13633	Arthropoda	Hexanauplia
seq13635	Nematoda	Chromadorea
seq1364	Bacillariophyta	Fragilariophyceae
seq13645	NA	Developea
seq13646	Cercozoa	Imbricatea
seq13648	NA	Choanoflagellata
seq1365	Annelida	Polychaeta
seq13653	Arthropoda	Arachnida
seq1366	Annelida	Clitellata
seq13669	Ciliophora	Spirotrichea
seq1367	Bacillariophyta	Bacillariophyceae
seq136704	Nematoda	Chromadorea
seq13674	Apicomplexa	Conoidasida
seq1368	Cercozoa	Imbricatea
seq13681	Cercozoa	Imbricatea
seq13689	NA	Dinophyceae
seq1369	Bacillariophyta	Bacillariophyceae
seq13693	NA	Dinophyceae
seq1370	Ascomycota	Eurotiomycetes
seq13715	Bacillariophyta	Fragilariophyceae
seq13718	Arthropoda	Hexanauplia
seq13722	Bacillariophyta	Bacillariophyceae
seq137243	NA	Dinophyceae
seq13725	Apicomplexa	Conoidasida
seq13726	Bacillariophyta	Bacillariophyceae
seq1373	Ciliophora	Spirotrichea
seq13734	Ciliophora	Spirotrichea
seq1374	NA	Dinophyceae
seq13742	NA	Dinophyceae
seq137442	Apicomplexa	Conoidasida
seq137463	Platyhelminthes	Rhabditophora
seq13747	Ciliophora	Oligohymenophorea
seq1375	Chlorophyta	Pyramimonadophyceae
seq1376	Bacillariophyta	Bacillariophyceae
seq137692	Nematoda	Chromadorea
seq1377	Bacillariophyta	Bacillariophyceae
seq13771	Chordata	Actinopteri
seq1378	Bacillariophyta	Bacillariophyceae
seq13781	Nematoda	Chromadorea
seq13782	Bacillariophyta	Bacillariophyceae
seq13785	NA	Dinophyceae
seq13788	NA	Choanoflagellata
seq13790	Ciliophora	Spirotrichea
seq13793	Streptophyta	Bryopsida
seq13795	NA	Bigyra
seq13797	NA	Bigyra
seq138	Ciliophora	Spirotrichea
seq13805	Cercozoa	Imbricatea
seq13806	NA	Dinophyceae
seq1381	Streptophyta	Magnoliopsida
seq13820	NA	Dinophyceae
seq1383	Bacillariophyta	Bacillariophyceae
seq13835	Cercozoa	Chlorarachniophyceae
seq1384	Bacillariophyta	Coscinodiscophyceae
seq13844	Bacillariophyta	Bacillariophyceae
seq13846	NA	Dinophyceae
seq13848	NA	Chrysophyceae
seq1385	NA	Cryptophyceae
seq1386	NA	Dinophyceae
seq13871	Ciliophora	Spirotrichea
seq13874	NA	Dinophyceae
seq13878	Arthropoda	Hexanauplia
seq138786	Apicomplexa	Conoidasida
seq1388	Bacillariophyta	Bacillariophyceae
seq13886	Apicomplexa	Conoidasida
seq13897	NA	Choanoflagellata
seq139	Bacillariophyta	Bacillariophyceae
seq1390	Chlorophyta	Pyramimonadophyceae
seq139010	Evosea	Variosea
seq13911	Cercozoa	Imbricatea
seq13914	Arthropoda	Hexanauplia
seq13915	Bacillariophyta	Bacillariophyceae
seq1392	Streptophyta	Magnoliopsida
seq1394	Bacillariophyta	Bacillariophyceae
seq13941	Bacillariophyta	Bacillariophyceae
seq13942	Ciliophora	Spirotrichea
seq13949	NA	Dinophyceae
seq13952	NA	Cryptophyceae
seq13955	Arthropoda	Hexanauplia
seq1396	Ascomycota	Saccharomycetes
seq13964	Cercozoa	Imbricatea
seq13967	Bacillariophyta	Bacillariophyceae
seq13976	NA	Bigyra
seq13977	Bacillariophyta	Bacillariophyceae
seq13980	NA	Dinophyceae
seq13986	Chytridiomycota	Chytridiomycetes
seq13988	Ciliophora	Oligohymenophorea
seq1399	Ciliophora	Spirotrichea
seq13994	Ciliophora	Litostomatea
seq14	NA	Dinophyceae
seq140	Streptophyta	Magnoliopsida
seq1400	NA	Dinophyceae
seq14004	Ciliophora	Spirotrichea
seq1401	Platyhelminthes	Rhabditophora
seq14012	Platyhelminthes	Rhabditophora
seq1402	Ciliophora	Spirotrichea
seq14020	NA	Dinophyceae
seq14026	Ciliophora	Spirotrichea
seq14030	NA	Cryptophyceae
seq14032	Nematoda	Chromadorea
seq14033	Ciliophora	Litostomatea
seq14038	Arthropoda	Hexanauplia
seq1404	Platyhelminthes	Rhabditophora
seq14042	Cercozoa	Imbricatea
seq14045	NA	Bigyra
seq14046	Chytridiomycota	Chytridiomycetes
seq14047	Nematoda	Chromadorea
seq14051	Platyhelminthes	Rhabditophora
seq14052	Annelida	Clitellata
seq14059	Nematoda	Chromadorea
seq1406	Ascomycota	Saccharomycetes
seq14087	NA	Dictyochophyceae
seq141	NA	Dinophyceae
seq1410	Platyhelminthes	Rhabditophora
seq14101	Platyhelminthes	Rhabditophora
seq1411	Mollusca	Gastropoda
seq14118	Basidiomycota	Agaricomycetes
seq14119	Ciliophora	Spirotrichea
seq14123	NA	Bigyra
seq14124	Bryozoa	Gymnolaemata
seq14132	Ciliophora	Spirotrichea
seq14134	Arthropoda	Hexanauplia
seq14135	NA	Dinophyceae
seq1414	Bacillariophyta	Fragilariophyceae
seq14141	Ciliophora	Litostomatea
seq14143	NA	Cryptophyceae
seq14144	NA	Bigyra
seq14145	Nematoda	Enoplea
seq14160	NA	Centroplasthelida
seq141610	Nematoda	Chromadorea
seq14162	NA	Bigyra
seq14166	Platyhelminthes	Rhabditophora
seq14167	NA	Dictyochophyceae
seq1417	Platyhelminthes	Rhabditophora
seq14173	Ciliophora	Spirotrichea
seq14175	Endomyxa	Ascetosporea
seq141820	Nematoda	Chromadorea
seq14194	Arthropoda	Arachnida
seq14197	NA	Dinophyceae
seq142	Cercozoa	Thecofilosea
seq14204	Mollusca	Bivalvia
seq14205	NA	Dinophyceae
seq14207	Bacillariophyta	Bacillariophyceae
seq14208	Bacillariophyta	Bacillariophyceae
seq1421	Bacillariophyta	Coscinodiscophyceae
seq14210	Ciliophora	Litostomatea
seq14222	Bryozoa	Gymnolaemata
seq14237	Annelida	Polychaeta
seq14241	Ciliophora	Litostomatea
seq14246	NA	Dictyochophyceae
seq1425	Rhodophyta	Florideophyceae
seq14253	Arthropoda	Hexanauplia
seq14257	Ciliophora	Spirotrichea
seq14268	Chytridiomycota	Chytridiomycetes
seq1427	Nemertea	Enopla
seq142898	Nematoda	Chromadorea
seq14291	Platyhelminthes	Rhabditophora
seq142914	Ciliophora	Karyorelictea
seq14292	Ascomycota	Sordariomycetes
seq14293	NA	Choanoflagellata
seq142973	Nematoda	Chromadorea
seq143	Bacillariophyta	Coscinodiscophyceae
seq14301	Ciliophora	Heterotrichea
seq14312	Bacillariophyta	Bacillariophyceae
seq14319	Ciliophora	Oligohymenophorea
seq14322	Ciliophora	Spirotrichea
seq14324	Arthropoda	Arachnida
seq1433	Platyhelminthes	Rhabditophora
seq14331	Cercozoa	Imbricatea
seq14332	Arthropoda	Malacostraca
seq14333	NA	Bigyra
seq14342	NA	Polycystinea
seq14348	Arthropoda	Malacostraca
seq14349	Ciliophora	Litostomatea
seq1435	NA	Dinophyceae
seq14353	NA	Dinophyceae
seq14358	Nematoda	Chromadorea
seq1437	Apicomplexa	Conoidasida
seq14370	NA	Cryptophyceae
seq14371	Platyhelminthes	Rhabditophora
seq143713	Arthropoda	Ostracoda
seq14373	Mollusca	Bivalvia
seq14379	NA	Dinophyceae
seq14383	Ciliophora	Litostomatea
seq14389	NA	Centroplasthelida
seq1439	NA	Ichthyosporea
seq1440	Platyhelminthes	Rhabditophora
seq14402	NA	Dinophyceae
seq1441	Tardigrada	Eutardigrada
seq144106	Apicomplexa	Conoidasida
seq14412	Platyhelminthes	Rhabditophora
seq14414	Bacillariophyta	Bacillariophyceae
seq14415	Platyhelminthes	Rhabditophora
seq14424	Ciliophora	Spirotrichea
seq1443	Ciliophora	Heterotrichea
seq14436	NA	Bigyra
seq144393	Ciliophora	Litostomatea
seq1444	Bacillariophyta	Coscinodiscophyceae
seq14441	NA	Polycystinea
seq1445	NA	Dinophyceae
seq14451	Nematoda	Enoplea
seq14461	Platyhelminthes	Rhabditophora
seq14474	NA	Cryptophyceae
seq14478	Chytridiomycota	Chytridiomycetes
seq14479	Ciliophora	Muranotrichea
seq1448	Rhodophyta	Florideophyceae
seq14486	NA	Dinophyceae
seq14487	Bacillariophyta	Bacillariophyceae
seq14489	Bacillariophyta	Bacillariophyceae
seq1449	Bacillariophyta	Bacillariophyceae
seq144926	NA	Cryptophyceae
seq14494	Ciliophora	Litostomatea
seq14495	Arthropoda	Malacostraca
seq145	NA	Dinophyceae
seq14506	Ciliophora	Spirotrichea
seq14519	NA	Bigyra
seq14528	Nematoda	Chromadorea
seq14532	Ciliophora	Spirotrichea
seq14537	NA	Bigyra
seq1455	NA	Bigyra
seq14550	NA	Cryptophyceae
seq14563	Ciliophora	Oligohymenophorea
seq145666	Chytridiomycota	Chytridiomycetes
seq14567	Bacillariophyta	Mediophyceae
seq1458	NA	Raphidophyceae
seq14581	Streptophyta	Bryopsida
seq14582	NA	Cryptophyceae
seq14589	Ciliophora	Prostomatea
seq1459	NA	Bigyra
seq145989	NA	Dinophyceae
seq14599	Ciliophora	Spirotrichea
seq146	Nematoda	Chromadorea
seq14600	Cnidaria	Scyphozoa
seq14603	Platyhelminthes	Trematoda
seq14604	Platyhelminthes	Trematoda
seq1461	NA	Dinophyceae
seq14611	Ciliophora	Oligohymenophorea
seq14624	NA	Bigyra
seq1463	Rhodophyta	Florideophyceae
seq146313	NA	Cryptophyceae
seq14642	NA	Dinophyceae
seq14646	Ciliophora	Litostomatea
seq1465	Bacillariophyta	Bacillariophyceae
seq14654	Nematoda	Chromadorea
seq14656	NA	Dictyochophyceae
seq14673	Ciliophora	Litostomatea
seq14674	NA	Cryptophyceae
seq14677	Ciliophora	Spirotrichea
seq1468	NA	Ichthyosporea
seq14682	Bryozoa	Gymnolaemata
seq14685	Ciliophora	Litostomatea
seq14688	Ciliophora	Heterotrichea
seq147	Cercozoa	Thecofilosea
seq14700	NA	Cryptophyceae
seq14705	Apicomplexa	Conoidasida
seq1471	NA	Cryptophyceae
seq14711	Chlorophyta	Trebouxiophyceae
seq14718	Ciliophora	Spirotrichea
seq14724	Chytridiomycota	Chytridiomycetes
seq14725	Arthropoda	Malacostraca
seq14726	NA	Ichthyosporea
seq14736	Annelida	Polychaeta
seq1474	Rhodophyta	Florideophyceae
seq14753	Annelida	Polychaeta
seq14759	NA	Bigyra
seq1476	Ciliophora	Heterotrichea
seq14761	NA	Chrysophyceae
seq14777	Ciliophora	Litostomatea
seq14782	Ciliophora	Oligohymenophorea
seq14783	NA	Bigyra
seq14788	Chytridiomycota	Chytridiomycetes
seq1479	Bacillariophyta	Bacillariophyceae
seq14790	Apicomplexa	Conoidasida
seq14793	Ciliophora	Oligohymenophorea
seq14794	Ciliophora	Litostomatea
seq148	Bacillariophyta	Bacillariophyceae
seq1480	Basidiomycota	Agaricomycetes
seq14809	NA	Cryptophyceae
seq1481	Arthropoda	Ostracoda
seq14816	Arthropoda	Arachnida
seq14818	Annelida	Clitellata
seq14820	Ciliophora	Spirotrichea
seq1483	Rhodophyta	Florideophyceae
seq14838	Ciliophora	Litostomatea
seq14842	NA	Bigyra
seq14850	Ciliophora	Litostomatea
seq14854	NA	Bigyra
seq14858	Ciliophora	Litostomatea
seq14860	Arthropoda	Hexanauplia
seq14875	Ciliophora	Litostomatea
seq14885	Ciliophora	Spirotrichea
seq14891	Ciliophora	Oligohymenophorea
seq14897	Ciliophora	Prostomatea
seq149	Ciliophora	Spirotrichea
seq1490	Platyhelminthes	Rhabditophora
seq1492	Mollusca	Gastropoda
seq14922	NA	Dinophyceae
seq14924	NA	Ichthyosporea
seq14925	NA	Dinophyceae
seq14927	Ciliophora	Litostomatea
seq1495	Annelida	Clitellata
seq14959	Ciliophora	Litostomatea
seq14960	Nematoda	Chromadorea
seq14964	Apicomplexa	Conoidasida
seq14966	NA	Bigyra
seq1497	Platyhelminthes	Rhabditophora
seq149722	Ciliophora	Oligohymenophorea
seq1498	Basidiomycota	Agaricomycetes
seq14989	Cercozoa	Imbricatea
seq1499	Rotifera	Eurotatoria
seq14991	Ciliophora	Litostomatea
seq14993	Ciliophora	Litostomatea
seq15	Arthropoda	Hexanauplia
seq150	NA	Pelagophyceae
seq1500	Bacillariophyta	Coscinodiscophyceae
seq15000	NA	Chrysophyceae
seq15019	Ciliophora	Spirotrichea
seq1502	Rhodophyta	Florideophyceae
seq1504	NA	Dinophyceae
seq15041	Annelida	Clitellata
seq15045	Platyhelminthes	Rhabditophora
seq15046	Cercozoa	Chlorarachniophyceae
seq15049	Ciliophora	Oligohymenophorea
seq1505	Arthropoda	Hexanauplia
seq15054	Nematoda	Chromadorea
seq1506	Annelida	Polychaeta
seq15064	Ciliophora	Oligohymenophorea
seq15079	Cercozoa	Thecofilosea
seq1509	Ciliophora	Karyorelictea
seq151	Chordata	Appendicularia
seq15103	Ciliophora	Prostomatea
seq15106	Ciliophora	Karyorelictea
seq15109	NA	Bigyra
seq1511	Arthropoda	Ostracoda
seq15120	NA	Dinophyceae
seq15129	Ciliophora	Spirotrichea
seq15139	Apicomplexa	Conoidasida
seq1514	Chytridiomycota	Chytridiomycetes
seq15143	NA	Cryptophyceae
seq15159	NA	Choanoflagellata
seq15167	NA	Bigyra
seq151680	NA	Bigyra
seq151704	Nematoda	Chromadorea
seq15173	Bacillariophyta	Bacillariophyceae
seq15175	Chytridiomycota	Chytridiomycetes
seq15178	Arthropoda	Arachnida
seq15184	NA	Dinophyceae
seq15187	Ciliophora	Oligohymenophorea
seq15191	Chytridiomycota	Chytridiomycetes
seq15197	NA	Developea
seq15199	NA	Developea
seq152	Nematoda	Chromadorea
seq15200	NA	Dinophyceae
seq15203	Bacillariophyta	Coscinodiscophyceae
seq15210	NA	Dinophyceae
seq15212	Nematoda	Chromadorea
seq15213	Platyhelminthes	Rhabditophora
seq15223	NA	Bigyra
seq1523	Chytridiomycota	Chytridiomycetes
seq15231	Bacillariophyta	Bacillariophyceae
seq1524	Cercozoa	Imbricatea
seq15249	Ciliophora	Oligohymenophorea
seq1525	Annelida	Polychaeta
seq1526	Basidiomycota	Tremellomycetes
seq15264	NA	Dinophyceae
seq15266	NA	Dinophyceae
seq152692	Nematoda	Chromadorea
seq15276	NA	Dictyochophyceae
seq15279	NA	Bigyra
seq15293	Ciliophora	Oligohymenophorea
seq15295	Ciliophora	Oligohymenophorea
seq153	Arthropoda	Hexanauplia
seq15301	Cercozoa	Thecofilosea
seq15307	Arthropoda	Arachnida
seq1531	Annelida	Polychaeta
seq15313	Ciliophora	Prostomatea
seq1532	Basidiomycota	Tremellomycetes
seq15326	Cercozoa	Thecofilosea
seq15331	Nematoda	Chromadorea
seq15334	Ciliophora	Muranotrichea
seq15341	Arthropoda	Arachnida
seq15342	Ciliophora	Litostomatea
seq15347	Bacillariophyta	Bacillariophyceae
seq153672	Nematoda	Chromadorea
seq15370	Rhodophyta	Bangiophyceae
seq15394	Ciliophora	Prostomatea
seq15399	NA	Raphidophyceae
seq154	Chordata	Appendicularia
seq15406	NA	Breviatea
seq1541	Bacillariophyta	Mediophyceae
