Sample_ID	Grain_size	Density_wet	Dry_matter_per_WW	Watercontent	Organic_content	Inorganic_content	TP
2C8SB2	1	1.571966667	0.64506775	0.557941667	0.0390439	0.025436043	0.980178977
2C8SB3	1	1.569825	0.620923776	0.595083333	0.038591095	0.020602753	1.086085281
2C9SB1	1	1.835172727	0.771232829	0.419827273	0.01265494	0.010974812	0.330689054
2C9SB2	1	1.87426	0.780478696	0.41144	0.011427408	0.016080662	0.312821053
2C9SB3	1	1.72571	0.626078542	0.64528	0.061051489	0.118720508	1.093260076
2C9RB1	1	1.663666667	0.692092433	0.512255556	0.012013679	0.00733128	0.309278121
2C9RB2	1	1.70734	0.700633734	0.51112	0.010676282	0.006662024	0.404220168
2C9EB1	1	1.81462	0.758538978	0.43816	0.00974087	0.004665347	0.343629454
2C9RB3	1	1.84843	0.774165102	0.41744	0.011239311	0.00387536	0.48016075
2C9EB2	3	1.835827273	0.76676356	0.428181818	0.012473663	0.004842749	0.481862592
2C9EB3	1	1.79	0.755373286	0.437881818	0.015498989	0.005487439	0.544755031
2C10SB1	2	1.851916667	0.799505017	0.3713	0.00738246	0.003488447	0.246738391
2C10SB2	2	1.826675	0.804444323	0.357216667	0.006843462	0.003193385	0.215422649
2C10SB3	2	1.86595	0.800310834	0.37261	0.008157141	0.003138938	0.248568337
2C10RB1	1	1.703454545	0.804168001	0.333590909	0.01349105	0.035032515	0.252282656
2C10RB2	1	1.691381818	0.81185905	0.318218182	0.017580336	0.025796534	0.34370123
2C10RB3	1	1.89798	0.808696614	0.36309	0.02484885	0.027050464	0.322584374
2C10EB1	2	1.860945455	0.802329217	0.367854545	0.005296789	0.00385924	0.195225433
2C10EB2	2	1.90645	0.800236041	0.38084	0.005356933	0.003866282	0.191346112
2C10EB3	2	1.87968	0.779366701	0.41472	0.007136413	0.004533228	0.200927656
2C11SB1	2	1.7701	0.823591887	0.31226	0.007837192	0.002923181	0.262218976
2C11SB2	2	1.75815	0.824377897	0.30877	0.003461184	0.002746646	0.240756247
2C11SB3	2	1.74805	0.824307085	0.30712	0.003281743	0.003460877	0.288273236
2C11RB1	1	1.811336364	0.7802125	0.398109091	0.014760826	0.006450553	0.320287944
2C11RB2	2	1.812742857	0.776676229	0.404828571	0.018115382	0.028830646	0.366144648
2C11RB3	1	1.79812	0.761562076	0.42874	0.017040722	0.00628053	0.450090903
2C12SB1	1	1.67842	0.695981935	0.51027	0.011452878	0.00378514	0.614616005
2C12SB2	1	1.709281818	0.708968679	0.497454545	0.010973141	0.003501359	0.667468357
